,article_id,title,field,pub_date,citations,author_count,open_access,funding_source
0,1,Article_1,Physics,2024-05-20,21,9,False,Government
1,2,Article_2,Chem,2022-11-25,6,5,True,Industry
2,3,Article_3,Chemistry,2016-06-19,11,3,True,University
3,4,Article_4,Psychology,2021-03-15,36,4,False,University
4,5,Article_5,Biology,2018-10-09,11,11,True,Foundation
5,6,Article_6,Biology,2018-01-28,18,9,False,nan
6,7,Article_7,Computer Science,2016-02-25,101,6,False,Industry
7,8,Article_8,CS,2024-03-31,26,4,True,Foundation
8,9,Article_9,Psychology,2024-02-04,4,5,False,Foundation
9,10,Article_10,Chemistry,2021-10-12,6,5,False,University
10,11,Article_11,Computer Science,2024-03-01,14,4,True,Government
11,12,Article_12,Chem,2021-06-20,237,8,False,nan
12,13,Article_13,Chemistry,2015-11-11,1,7,True,Industry
13,14,Article_14,Biology,2020-11-07,15,3,False,nan
14,15,Article_15,Biology,2018-11-19,82,5,True,University
15,16,Article_16,Biology,2021-10-22,28,5,False,nan
16,17,Article_17,Physics,2018-06-28,10,2,True,nan
17,18,Article_18,Economics,2019-05-20,1,7,True,University
18,19,Article_19,Economics,2018-06-13,101,8,True,University
19,20,Article_20,Physics,2023-08-15,6,4,True,nan
20,21,Article_21,Psychology,2022-03-02,3,7,False,Industry
21,22,Article_22,Computer Science,2015-04-10,17,5,True,nan
22,23,Article_23,Physics,2017-06-09,89,4,False,Industry
23,24,Article_24,Physics,2017-03-22,21,3,True,nan
24,25,Article_25,Economics,2017-09-24,7,5,True,Government
25,26,Article_26,Chemistry,2018-11-22,17,2,True,Industry
26,27,Article_27,Biology,2015-09-02,14,3,False,Government
27,28,Article_28,Economics,2024-06-14,6,3,False,Government
28,29,Article_29,Psychology,2020-09-30,13,6,True,Industry
29,30,Article_30,Computer Science,2021-01-18,3,4,True,Government
30,31,Article_31,Psychology,2023-12-07,3,6,False,University
31,32,Article_32,Biology,2020-12-09,26,4,True,Government
32,33,Article_33,Computer Science,2017-10-10,7,4,False,Industry
33,34,Article_34,Psych,2019-12-09,11,5,False,Government
34,35,Article_35,Chem,2015-10-21,4,5,False,Foundation
35,36,Article_36,Chemistry,2015-09-03,5,3,False,Government
36,37,Article_37,Physics,2018-04-22,6,8,False,Industry
37,38,Article_38,Computer Science,2021-07-21,5,8,False,Government
38,39,Article_39,Psychology,2023-11-14,6,4,True,nan
39,40,Article_40,Economics,2019-06-28,16,4,False,Government
40,41,Article_41,Computer Science,2022-04-02,85,4,True,nan
41,42,Article_42,Economics,2022-04-02,35,4,False,Foundation
42,43,Article_43,Computer Science,2020-09-14,7,13,False,University
43,44,Article_44,Bio,2017-11-05,5,4,False,Foundation
44,45,Article_45,Biology,2021-03-03,1,8,False,Industry
45,46,Article_46,Psychology,2019-02-26,4,5,False,Industry
46,47,Article_47,Physics,2022-06-14,2,6,True,Government
47,48,Article_48,Economics,2023-01-07,13,6,False,nan
48,49,Article_49,Economics,2022-07-22,125,9,False,Government
49,50,Article_50,Biology,2017-09-13,7,4,True,Foundation
50,51,Article_51,Chem,2021-10-06,1,3,False,Government
51,52,Article_52,Chemistry,2017-08-17,9,4,True,Government
52,53,Article_53,Psych,2021-03-02,6,6,False,Government
53,54,Article_54,Bio,2015-06-06,71,2,True,nan
54,55,Article_55,Psychology,2018-12-09,0,2,False,Industry
55,56,Article_56,Econ,2017-04-10,3,3,False,Foundation
56,57,Article_57,Computer Science,2015-10-26,35,4,True,Industry
57,58,Article_58,Biology,2015-01-19,1,4,True,University
58,59,Article_59,Computer Science,2019-03-03,27,7,True,nan
59,60,Article_60,Physics,2020-12-25,4,6,True,nan
60,61,Article_61,Physics,2016-11-30,51,2,False,Industry
61,62,Article_62,Biology,2015-02-12,11,7,False,Industry
62,63,Article_63,Chemistry,2021-06-09,9,6,False,University
63,64,Article_64,Physics,2021-06-01,28,9,True,Industry
64,65,Article_65,Physics,2024-03-15,12,4,False,University
65,66,Article_66,Economics,2024-05-30,2,9,True,Government
66,67,Article_67,Biology,2016-09-16,5,6,True,Government
67,68,Article_68,Chemistry,2021-08-13,1,7,False,University
68,69,Article_69,Computer Science,2018-02-26,3,5,True,nan
69,70,Article_70,Chem,2018-07-22,0,4,True,Foundation
70,71,Article_71,Chemistry,2024-02-11,321,5,True,nan
71,72,Article_72,Biology,2016-01-11,11,8,False,Foundation
72,73,Article_73,Computer Science,2018-01-16,25,3,False,Industry
73,74,Article_74,Chemistry,2017-08-21,3,2,True,nan
74,75,Article_75,Chemistry,2021-03-13,25,3,False,Industry
75,76,Article_76,Chemistry,2018-10-14,35,6,True,University
76,77,Article_77,Chemistry,2017-05-01,45,4,True,University
77,78,Article_78,Computer Science,2019-02-13,10,3,False,University
78,79,Article_79,Physics,2018-07-31,50,4,False,Foundation
79,80,Article_80,Computer Science,2023-09-14,5,8,False,University
80,81,Article_81,CS,2020-01-11,20,7,False,University
81,82,Article_82,Psychology,2016-04-27,13,7,True,Government
82,83,Article_83,Physics,2017-11-13,2,4,False,Government
83,84,Article_84,Computer Science,2024-01-17,0,3,False,Government
84,85,Article_85,Physics,2017-12-03,8,2,False,University
85,86,Article_86,Physics,2021-08-30,8,4,True,nan
86,87,Article_87,Chemistry,2017-07-07,8,6,False,Government
87,88,Article_88,Psychology,2021-12-03,52,3,True,nan
88,89,Article_89,Comp Sci,2020-10-26,83,8,True,University
89,90,Article_90,Economics,2021-06-23,30,4,False,Industry
